Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
0.8240 1.4421 3.1820 0.7436 0.2319 2.9250 -0.0048 3.5943 1.2339 0.4054 2.8889 3.2810 4.1273 0.4543 1.8958 0.7426 4.2775 6.5817 2.2575 4.5033 7.9261 5.5061 5.3564 5.2618 6.5345 5.4364 6.9814 7.0329 8.7988 6.2271
1.0471 0.5187 3.1198 0.7451 0.4708 2.4242 0.3558 3.4889 1.1562 -0.0139 2.5378 1.6362 3.3854 0.6553 2.2118 0.2614 3.0331 5.3640 1.6675 4.3478 6.7275 4.5757 4.8877 4.7256 5.6894 5.1529 6.4539 6.2466 8.0091 5.9093
-0.1023 0.9014 2.8266 0.3021 0.6049 1.8537 -0.3758 1.9052 0.8486 -0.8799 1.5979 0.5257 0.9160 0.8617 1.4106 0.9684 2.3847 0.9357 0.8905 3.9187 5.9714 3.9744 4.3014 4.1366 5.4677 4.3961 5.8952 5.1095 6.8904 4.8972
-0.8469 2.0962 2.7829 0.0420 0.3901 1.8504 -1.8387 0.0210 0.8787 -1.5076 2.1541 0.6682 -0.0119 0.5698 0.1496 0.4104 2.7229 -0.2315 0.4455 3.3463 6.0054 3.8559 3.9325 3.8058 5.4501 4.0139 5.9086 4.7572 6.7611 4.7227
0.0541 1.6188 3.2720 0.4877 0.3230 2.0721 -1.8431 0.1589 1.1085 -1.2981 3.1154 0.8596 0.9089 0.1254 -0.1346 -0.7914 2.8617 1.4883 0.4055 2.4698 5.7699 3.6958 3.1218 3.3805 4.7649 4.0018 5.8819 4.9404 6.3759 4.7498
0.7432 0.0610 3.8886 1.2190 0.5359 2.0759 -0.7669 1.7968 1.2530 -0.7486 1.9949 0.2460 1.7833 0.4131 0.2803 0.1688 2.7644 2.1354 0.4507 1.5061 5.3729 3.5315 2.1076 2.6604 4.0938 3.8114 5.6728 5.0868 5.0344 4.0617
-0.5639 -0.1073 4.0450 1.7581 0.4317 1.7266 0.5855 2.3228 1.3762 -0.1620 0.3632 0.0164 2.3421 1.3990 1.0103 1.9028 3.1184 2.8312 0.8804 1.6606 5.4980 3.5672 1.9767 2.5634 4.3999 3.6249 5.7681 5.2377 4.6862 4.0044
-1.9771 0.4177 3.6151 2.0547 0.1456 0.9077 2.9448 1.3436 1.3479 0.6278 1.1988 1.2402 2.3823 1.7832 2.2955 1.0545 3.0734 4.0135 1.8003 2.6309 5.2833 3.2310 2.2620 3.1242 4.4252 2.9311 5.2540 5.2324 5.7000 4.5950
-1.3355 -0.1032 2.9450 1.9122 0.2698 0.0937 5.2361 0.9580 1.0659 1.2141 3.3010 2.9049 1.3133 1.0517 3.0172 -0.6131 2.1537 2.7312 2.2942 2.4574 4.4658 2.4611 1.9216 2.9407 3.2571 1.6176 3.8952 4.8123 5.6627 3.7491
0.0037 -0.5691 3.1064 1.6306 0.4391 0.5701 5.2360 2.5021 0.9819 1.1782 3.7284 3.1288 0.6250 0.4005 2.0082 -0.0584 1.6212 0.1191 1.8386 1.0572 4.2238 2.0365 1.3236 1.7467 2.3528 1.2157 3.1056 3.9390 3.8669 2.0281
0.7030 -0.0795 4.5293 2.0140 0.2411 2.4246 3.4837 4.6676 1.2727 0.9310 2.5671 1.9418 1.5910 0.6134 0.6729 0.4607 1.8145 -0.0739 1.0634 0.1352 4.3410 1.8184 0.8169 0.5148 1.9283 1.7655 2.5076 2.1924 1.5544 1.1980
1.7472 0.2464 5.2295 2.4648 0.2433 3.6457 1.8327 4.8171 1.3064 0.8595 1.7413 1.6451 2.2381 0.8520 0.5434 -1.0588 1.6600 1.0820 0.4685 0.0554 3.7497 1.0980 -0.0814 -0.4684 0.6888 1.3105 0.7936 -0.1316 -0.6595 0.2252
2.6670 0.4483 3.9425 1.9013 0.7014 2.9760 1.0260 2.5449 0.7035 0.8265 2.1910 2.7226 0.7899 0.2497 0.6468 -1.8541 0.7418 0.3999 -0.2130 -0.1208 2.6247 0.0117 -1.2579 -1.4031 -0.5341 -0.5599 -1.1858 -1.4514 -1.8256 -1.3395
1.7702 1.0103 2.7972 1.2239 1.0520 1.6013 1.3513 0.7210 -0.0226 0.7744 3.3068 2.2228 -1.1038 -0.8131 -0.0196 -1.1228 -0.6879 -1.5380 -1.2608 -0.9183 1.2164 -1.1998 -2.3440 -2.3986 -0.8415 -2.5550 -2.6942 -1.8172 -1.5952 -1.9457
0.4021 0.5182 2.9715 1.3891 1.1570 1.1747 1.9424 1.1862 -0.3068 0.6413 2.7519 -0.5828 -1.4689 -1.4156 -0.8657 -1.9108 -2.1556 -2.4345 -2.3459 -2.0575 -0.4187 -2.4927 -3.4413 -3.4821 -1.6092 -3.9410 -4.1092 -2.7621 -1.9680 -2.2896
0.6602 -1.4201 2.6428 1.4490 1.3273 1.8489 1.3699 1.9603 -0.2728 0.2143 -0.8285 -2.2816 -1.1232 -1.3495 -1.5218 -4.4552 -2.8730 -2.3142 -2.8478 -2.7270 -1.5177 -3.2015 -4.0588 -4.1013 -2.8751 -4.7858 -4.3862 -3.4815 -3.2135 -3.7717
1.0467 -2.6615 1.5643 1.0399 1.5074 2.0853 0.8429 0.9484 -0.2811 -0.1774 -3.4186 -1.8248 -1.5819 -1.1996 -2.1004 -5.9208 -2.8254 -2.4546 -2.7213 -2.7635 -2.0206 -3.0147 -3.6508 -3.9266 -3.0402 -5.5635 -3.2099 -2.7330 -2.8026 -4.7854
