TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.2400017,,0.03725163,0.04945961,-0.0376343,0.004842751,-0.00343969,-0.000398159,-0.03140896,-2.315155,2.442993,1000.399,609.0044,64.44758606,63.88235474,-0.03958358,-0.1320887,0.9904472,-1.117975,9.317696,-26.74161,990.9265,616.3734,-0.05147461,-0.1448956,0.9881061,31.08886,8.995651,Infinity,30.39009,7.860347,-15.93831,1.601577058,1.27E+59,1.27E+59,1009.872,601.6353,-0.02753679,-0.1202533,0.9923601,-33.33009,9.678702,Infinity,-33.46097,9.041057,-17.55187,1.683550336,Infinity,Infinity
0.25,,0.01942313,0.09247741,0.07848229,0.002742752,-0.00243969,-0.009998159,-0.03327502,-2.320007,2.44278,1000.901,610.3821,64.44960022,63.90911865,-0.04011977,-0.1356025,0.9899507,-1.120034,9.345398,-26.74277,990.5503,614.3385,-0.05112768,-0.1414067,0.9886286,31.09,8.995872,Infinity,30.40064,7.88784,-15.94713,1.617972151,1.21E+59,1.21E+59,1011.251,606.4257,-0.02885346,-0.1285677,0.9912716,-33.33117,9.679303,Infinity,-33.47877,8.997471,-17.5489,1.666171992,Infinity,Infinity
0.2600021,,0.01942313,0.09247741,0.07848229,0.002742752,-0.00243969,-0.009998159,-0.03327502,-2.320007,2.44278,1000.901,610.3821,64.44960022,63.90911865,-0.04011977,-0.1356025,0.9899507,-1.120034,9.345398,-26.74277,990.5503,614.3385,-0.05112768,-0.1414067,0.9886286,31.09,8.995872,Infinity,30.40064,7.88784,-15.94713,1.617972151,1.21E+59,1.21E+59,1011.251,606.4257,-0.02885346,-0.1285677,0.9912716,-33.33117,9.679303,Infinity,-33.47877,8.997471,-17.5489,1.666171992,Infinity,Infinity
0.2700005,,-0.0389336,0.04193097,0.1157441,-0.001526721,-0.00456804,0.000595706,-0.03770095,-2.324127,2.443237,1000.901,610.3821,64.44960022,63.90911865,-0.04011977,-0.1356025,0.9899507,-1.120034,9.345398,-26.74277,990.5503,614.3385,-0.05112768,-0.1414067,0.9886286,31.09,8.995872,Infinity,30.40064,7.88784,-15.94713,1.617972151,1.21E+59,1.21E+59,1011.251,606.4257,-0.02885346,-0.1285677,0.9912716,-33.33117,9.679303,Infinity,-33.47877,8.997471,-17.5489,1.666171992,Infinity,Infinity
0.2800026,,0.07197379,0.02048606,0.0833509,-0.002557248,-0.00663969,0.006001841,-0.03969372,-2.325256,2.44101,999.6269,610.049,64.45165253,63.90643311,-0.0384393,-0.1343007,0.9901948,-1.12155,9.345225,-26.75559,989.3654,614.6242,-0.0499611,-0.1418947,0.9886196,31.09109,8.995728,Infinity,30.41139,7.865416,-15.94144,1.616088951,1.15E+59,1.15E+59,1009.888,605.4737,-0.02751928,-0.1269522,0.9915246,-33.33235,9.680212,Infinity,-33.46418,9.04261,-17.54067,1.69295616,Infinity,Infinity
0.2900009,,-0.03408377,0.04429449,0.05777635,-0.00795725,-0.00563969,0.009101842,-0.0364966,-2.326416,2.437805,1000.715,608.9719,64.45328522,63.91632843,-0.0401002,-0.1321183,0.9904225,-1.120326,9.344682,-26.78212,989.795,613.3536,-0.05039494,-0.1397247,0.9889064,31.09207,8.996492,Infinity,30.40021,7.90088,-15.95078,1.614916595,1.09E+59,1.09E+59,1011.634,604.5901,-0.02924553,-0.1254096,0.9916728,-33.33331,9.680118,Infinity,-33.48639,9.037432,-17.53425,1.687114603,Infinity,Infinity
0.3000031,,-0.06230295,-0.05185273,0.1584658,-0.003307253,-0.005478831,0.01231963,-0.0364966,-2.326416,2.437805,1000.715,608.9719,64.45328522,63.91632843,-0.0401002,-0.1321183,0.9904225,-1.120326,9.344682,-26.78212,989.795,613.3536,-0.05039494,-0.1397247,0.9889064,31.09207,8.996492,Infinity,30.40021,7.90088,-15.95078,1.614916595,1.09E+59,1.09E+59,1011.634,604.5901,-0.02924553,-0.1254096,0.9916728,-33.33331,9.680118,Infinity,-33.48639,9.037432,-17.53425,1.687114603,Infinity,Infinity
0.3100014,,-0.002635096,-0.05247039,0.03524708,-0.004726719,-0.00456804,0.01019571,-0.02939543,-2.324249,2.435242,1000.397,609.7303,64.45462036,63.90875626,-0.0394304,-0.1342089,0.9901683,-1.121591,9.342468,-26.80691,989.3915,614.998,-0.04997861,-0.1425354,0.9885259,31.09286,8.996752,Infinity,30.40018,7.856766,-15.98498,1.615258738,1.03E+59,1.03E+59,1011.401,604.4626,-0.02901795,-0.1251927,0.9917077,-33.33419,9.680276,Infinity,-33.47892,9.041259,-17.52983,1.693964199,Infinity,Infinity
0.3200035,,0.05296615,-0.1256471,0.01297764,-0.01005725,-0.00663969,0.01130184,-0.02171938,-2.322205,2.431244,998.9348,609.4143,64.45526886,63.88246155,-0.03771171,-0.1332007,0.9903713,-1.126648,9.332167,-26.83053,988.4643,612.1365,-0.049091,-0.1376039,0.9892666,31.09307,8.995686,Infinity,30.40383,7.887197,-16.03881,1.60454866,9.82E+58,9.82E+58,1009.405,606.6921,-0.02703772,-0.1290469,0.9912674,-33.335,9.680706,Infinity,-33.45154,9.001229,-17.5284,1.665179103,Infinity,Infinity
0.3300018,,0.04617297,-0.002207391,0.1107163,-0.01645725,-0.00983969,0.009101842,-0.01042347,-2.312073,2.423828,998.9348,609.4143,64.45526886,63.88246155,-0.03771171,-0.1332007,0.9903713,-1.126648,9.332167,-26.83053,988.4643,612.1365,-0.049091,-0.1376039,0.9892666,31.09307,8.995686,Infinity,30.40383,7.887197,-16.03881,1.60454866,9.82E+58,9.82E+58,1009.405,606.6921,-0.02703772,-0.1290469,0.9912674,-33.335,9.680706,Infinity,-33.45154,9.001229,-17.5284,1.665179103,Infinity,Infinity
